,starting_Datetime,ending_Datetime,start_frequency,end_frequency,flare_location,flare_region,flare_classification,cme_Datetime,cme_angle,CPA_Is_Halo,cme_width,Width_IS_lower_bound,cme_speed,Row description
0,1997-04-01 14:00:00,1997-04-01 14:00:00,8000,4000,S25E16,8026,M1.3,1997-04-01 15:18:00,74,False,79,False,312,NaN
1,1997-04-07 14:30:00,1997-04-07 14:30:00,11000,1000,S28E19,8027,C6.8,1997-04-07 14:27:00,NA,True,360,False,878,NaN
2,1997-05-12 05:15:00,1997-05-12 05:15:00,12000,80,N21W08,8038,C1.3,1997-05-12 05:30:00,NA,True,360,False,464,NaN
3,1997-05-21 20:20:00,1997-05-21 20:20:00,5000,500,N05W12,8040,M1.3,1997-05-21 21:00:00,263,False,165,False,296,NaN
4,1997-09-23 21:53:00,1997-09-23 21:53:00,6000,2000,S29E25,8088,C1.4,1997-09-23 22:02:00,133,False,155,False,712,NaN
5,1997-11-03 05:15:00,1997-11-03 05:15:00,14000,250,S20W13,8100,C8.6,1997-11-03 05:28:00,240,False,109,False,227,NaN
6,1997-11-03 10:30:00,1997-11-03 10:30:00,14000,5000,S16W21,8100,M4.2,1997-11-03 11:11:00,233,False,122,False,352,NaN
7,1997-11-04 06:00:00,1997-11-04 06:00:00,14000,100,S14W33,8100,X2.1,1997-11-04 06:10:00,NA,True,360,False,785,NaN
8,1997-11-06 12:20:00,1997-11-06 12:20:00,14000,100,S18W63,8100,X9.4,1997-11-06 12:10:00,NA,True,360,False,1556,NaN
9,1997-11-27 13:30:00,1997-11-27 13:30:00,14000,7000,N17E63,8113,X2.6,1997-11-27 13:56:00,98,False,91,False,441,NaN
10,1997-12-12 22:45:00,1997-12-12 22:45:00,14000,8000,N25W52,8116,B9.4,1997-12-13 00:26:00,278,False,73,False,191,NaN
11,1998-01-25 15:03:00,1998-01-25 15:03:00,14000,10000,N21E25,8141,C1.1,1998-01-25 15:26:00,NA,True,360,False,693,NaN
12,1998-03-29 03:40:00,1998-03-29 03:40:00,14000,7000,SW90,NaN,NaN,1998-03-29 03:48:00,NA,True,360,False,1397,NaN
13,1998-04-20 10:25:00,1998-04-20 10:25:00,10000,35,S22W90,8194,M1.4,1998-04-20 10:07:00,284,False,165,False,1863,NaN
14,1998-04-23 06:00:00,1998-04-23 06:00:00,14000,200,S17E90,8210,X1.2,1998-04-23 05:55:00,NA,True,360,False,1691,NaN
15,1998-04-24 09:17:00,1998-04-24 09:17:00,4700,2600,S10E90,8210,C8.9,1998-04-24 08:55:00,100,False,84,False,1184,uncertain
16,1998-04-27 09:20:00,1998-04-27 09:20:00,10000,1000,S16E50,8210,X1.0,1998-04-27 08:56:00,NA,True,360,False,1385,NaN
17,1998-04-29 16:30:00,1998-04-29 16:30:00,10000,2000,S18E20,8210,M6.8,1998-04-29 16:58:00,NA,True,360,False,1374,NaN
18,1998-05-02 14:25:00,1998-05-02 14:25:00,5000,3000,S15W15,8210,X1.1,1998-05-02 14:06:00,NA,True,360,False,938,NaN
19,1998-05-06 08:25:00,1998-05-06 08:25:00,14000,5000,S11W65,8210,X2.7,1998-05-06 08:29:00,309,False,190,False,1099,NaN
20,1998-05-09 03:35:00,1998-05-09 03:35:00,9000,400,S14W89,8210,M7.7,1998-05-09 03:35:00,262,False,178,False,2331,NaN
21,1998-05-11 21:40:00,1998-05-11 21:40:00,10000,1000,N32W90,8214,B6.6,1998-05-11 21:55:00,208,False,301,True,830,NaN
22,1998-05-19 10:00:00,1998-05-19 10:00:00,14000,3000,N29W46,8222,B7.9,1998-05-19 10:27:00,268,False,139,False,801,NaN
23,1998-05-27 13:30:00,1998-05-27 13:30:00,4000,1000,N19W62,8226,C7.5,1998-05-27 13:45:00,175,False,268,False,878,NaN
24,1998-06-11 10:15:00,1998-06-11 10:15:00,8000,4000,N16E86,8243,M1.4,1998-06-11 10:28:00,123,False,177,False,1223,NaN
25,1998-06-16 18:20:00,1998-06-16 18:20:00,12000,50,S22W90,8232,M1.0,1998-06-16 18:27:00,341,False,281,False,1484,NaN
26,1998-06-20 19:39:00,1998-06-20 19:39:00,2600,1800,NaN,NaN,NaN,1998-06-20 18:20:00,NA,True,360,False,964,uncertain
27,1998-06-22 07:15:00,1998-06-22 07:15:00,6000,2000,N16W46,8243,C2.9,1998-06-22 05:01:00,265,False,59,False,206,NaN
28,1998-11-02 14:00:00,1998-11-02 14:00:00,14000,4000,S25E47,8373,C4.4,1998-11-02 14:18:00,116,False,169,False,661,NaN
29,1998-11-05 22:00:00,1998-11-05 22:00:00,5000,50,N22W18,8375,M8.4,1998-11-05 20:44:00,NA,True,360,False,1118,NaN
30,1998-11-06 03:00:00,1998-11-06 03:00:00,5000,1000,NaN,NaN,NaN,1998-11-06 02:18:00,159,False,160,True,405,NaN
31,1998-11-07 00:20:00,1998-11-07 00:20:00,14000,6000,NE90b,NaN,C1.0,1998-11-07 01:54:00,296,False,19,False,381,NaN
32,1998-11-08 11:20:00,1998-11-08 11:20:00,10000,8000,S21W37,NaN,C5.9,1998-11-08 11:54:00,264,False,196,False,559,NaN
33,1998-12-18 17:50:00,1998-12-18 17:50:00,14000,5000,N19E64,8415,M8.0,1998-12-18 18:09:00,NA,True,360,False,1749,NaN
34,1999-04-24 13:50:00,1999-04-24 13:50:00,3700,1500,NW90b,NaN,NaN,1999-04-24 13:31:00,NA,True,360,False,1495,NaN
35,1999-05-03 05:50:00,1999-05-03 05:50:00,8000,200,N15E32,8525,M4.4,1999-05-03 06:06:00,NA,True,360,False,1584,NaN
36,1999-05-27 10:55:00,1999-05-27 10:55:00,14000,70,W90b,NaN,NaN,1999-05-27 11:06:00,NA,True,360,False,1691,NaN
37,1999-06-01 18:50:00,1999-06-01 18:50:00,14000,400,NW90b,NaN,NaN,1999-06-01 19:37:00,NA,True,360,False,1772,NaN
38,1999-06-04 07:05:00,1999-06-04 07:05:00,14000,60,N17W69,8552,M3.9,1999-06-04 07:26:00,289,False,150,False,2230,NaN
39,1999-06-11 11:45:00,1999-06-11 11:45:00,14000,400,N38E90,NaN,C8.8,1999-06-11 11:26:00,35,False,181,True,1569,NaN
40,1999-06-22 18:25:00,1999-06-22 18:25:00,3000,2000,N22E37,8592,M1.7,1999-06-22 18:54:00,NA,True,360,False,1133,NaN
41,1999-06-23 05:50:00,1999-06-23 05:50:00,12000,2000,NaN,NaN,NaN,1999-06-23 06:06:00,264,False,154,True,450,NaN
42,1999-06-23 07:07:00,1999-06-23 07:07:00,14000,2000,N23E42,8596,M1.7,1999-06-23 07:31:00,NA,True,360,False,1006,uncertain
43,1999-06-28 21:03:00,1999-06-28 21:03:00,3500,1500,N22W44,8592,C3.5,1999-06-28 21:30:00,336,False,184,True,903,NaN
44,1999-06-29 19:20:00,1999-06-29 19:20:00,14000,2000,S14E01,8603,M1.6,1999-06-29 19:54:00,NA,True,360,False,560,NaN
45,1999-07-05 03:10:00,1999-07-05 03:10:00,2000,1000,SW90b,8603,C7.6,1999-07-05 02:54:00,284,False,190,False,670,NaN
46,1999-08-28 18:25:00,1999-08-28 18:25:00,16000,12000,S26W14,8674,X1.1,1999-08-28 18:26:00,120,False,245,False,462,NaN
